filename,category,fold
Passengers/7__10_07_13_marDeCangas_Espera_seg6.wav,Passengers,1
Passengers/55__23_07_13_H3_PirataSalvora_SALE2_seg13.wav,Passengers,3
Passengers/32__19_07_13_Arroios_llega_seg29.wav,Passengers,4
Passengers/63__23_07_13_H3_MarDeOnza_LLEGA_seg32.wav,Passengers,2
Passengers/14__10_07_13_piraCies_Espera_seg1.wav,Passengers,1
Passengers/67__23_07_13_H3_PirataCiesSale_seg8.wav,Passengers,3
Passengers/59__23_07_13_H2_MarDeMouro_seg21.wav,Passengers,1
Passengers/53__23_07_13_H3_PirataSalvora_Llega1_seg29.wav,Passengers,4
Passengers/13__10_07_13_piraCies_Entra_seg19.wav,Passengers,4
Passengers/6__10_07_13_marDeCangas_Entra_seg58.wav,Passengers,3
Passengers/34__19_07_13_MarDeOnza_Llega_seg23.wav,Passengers,3
Passengers/13__10_07_13_piraCies_Entra_seg31.wav,Passengers,1
Passengers/6__10_07_13_marDeCangas_Entra_seg26.wav,Passengers,1
Passengers/64__23_07_13_H3_MarDeOnza_SALE_seg24.wav,Passengers,4
Passengers/67__23_07_13_H3_PirataCiesSale_seg11.wav,Passengers,1
RORO/18__18_07_13_AutoPrideEntra_seg31.wav,RORO,1
RORO/18__18_07_13_AutoPrideEntra_seg8.wav,RORO,3
RORO/19__18_07_13_AutoprideMarchaAtras_seg54.wav,RORO,4
RORO/58__23_07_13_H2_EimskipReefer_Pesquerito1_seg44.wav,RORO,4
RORO/78__23_07_13_H3_vikingChance_seg32.wav,RORO,2
RORO/58__23_07_13_H2_EimskipReefer_Pesquerito1_seg32.wav,RORO,2
RORO/58__23_07_13_H2_EimskipReefer_Pesquerito1_seg21.wav,RORO,1
RORO/19__18_07_13_AutoprideMarchaAtras_seg52.wav,RORO,2
RORO/18__18_07_13_AutoPrideEntra_seg12.wav,RORO,2
RORO/19__18_07_13_AutoprideMarchaAtras_seg6.wav,RORO,1
RORO/18__18_07_13_AutoPrideEntra_seg57.wav,RORO,2
RORO/58__23_07_13_H2_EimskipReefer_Pesquerito1_seg43.wav,RORO,3
RORO/78__23_07_13_H3_vikingChance_seg18.wav,RORO,3
RORO/20__18_07_13_AutopridePrepManiobra_seg2.wav,RORO,2
RORO/18__18_07_13_AutoPrideEntra_seg103.wav,RORO,3
Motorboat/77__23_07_13_H3_Planeadora_seg3.wav,Motorboat,3
Motorboat/72__23_07_13_H3_lancha2_seg3.wav,Motorboat,3
Motorboat/72__23_07_13_H3_lancha2_seg23.wav,Motorboat,3
Motorboat/50__23_07_13_H3_lancha1_seg8.wav,Motorboat,3
Motorboat/70__23_07_13_H2_yatePeq_seg1.wav,Motorboat,1
Motorboat/39__19_07_13_lanchaMotora_Entra_seg9.wav,Motorboat,4
Motorboat/79__23_07_13_H3_zodiac_seg12.wav,Motorboat,2
Motorboat/50__23_07_13_H3_lancha1_seg3.wav,Motorboat,3
Motorboat/70__23_07_13_H2_yatePeq_seg8.wav,Motorboat,3
Motorboat/77__23_07_13_H3_Planeadora_seg16.wav,Motorboat,1
Motorboat/33__19_07_13_lanchaDuda_Sale_seg4.wav,Motorboat,4
Motorboat/52__23_07_13_H3_lancha3_interf_seg13.wav,Motorboat,3
Motorboat/27__19_07_13_Lancha2_seg6.wav,Motorboat,1
Motorboat/51__23_07_13_H3_lancha2_interf_seg9.wav,Motorboat,4
Motorboat/39__19_07_13_lanchaMotora_Entra_seg3.wav,Motorboat,3
